fecha,nombre_tortuga,marca_nombre,especie_nombre_latino,numero_recaptura,a_c_c,l_c_c,lugar,geografía,sexo_correcto
2015-07-23T00:00:00Z,Belen(1),GT 5274,Chelonia mydas,1,72.5,80,Laguna La Cruz,estuario,Hembra
2015-07-23T00:00:00Z,Zayexi,GT 5273,Chelonia mydas,1,76,83,Laguna La Cruz,estuario,Hembra
2015-07-23T00:00:00Z,Mariana,GT 5272,Chelonia mydas,1,70.5,73,Laguna La Cruz,estuario,Hembra
2015-08-12T00:00:00Z,Cesar,GT 5264,Lepidochelys olivacea,1,62.5,59.7,Laguna La Cruz,estuario,Indefinido
2015-08-22T00:00:00Z,Laura(2),GT 5287,Chelonia mydas,2,85,92.5,Laguna La Cruz,estuario,Hembra
2015-08-22T00:00:00Z,Karla,GT 5265,Chelonia mydas,1,81.5,85.4,Laguna La Cruz,estuario,Hembra
2015-08-22T00:00:00Z,Angelica(1),GT 5266,Chelonia mydas,2,70.1,76.2,Laguna La Cruz,estuario,Hembra
2015-08-22T00:00:00Z,Salvador,GT 5268,Chelonia mydas,1,68.5,68.5,Laguna La Cruz,estuario,Indefinido
2015-08-23T00:00:00Z,Michell,GT 5267,Chelonia mydas,1,64,72,Laguna La Cruz,estuario,Indefinido
2015-08-23T00:00:00Z,Silvia,GT 5269,Chelonia mydas,1,61,65,Laguna La Cruz,estuario,Indefinido
2015-08-23T00:00:00Z,Yadira,GT 5270,Chelonia mydas,1,68,69.5,Laguna La Cruz,estuario,Indefinido
2015-08-23T00:00:00Z,Susana,GT 5271,Chelonia mydas,1,76,80,Laguna La Cruz,estuario,Indefinido
2015-08-23T00:00:00Z,Elvira,GT 5292,Chelonia mydas,1,71,73,Laguna La Cruz,estuario,Indefinido
2015-09-20T00:00:00Z,Daniela,GT 5295,Chelonia mydas,2,52,71.5,Laguna La Cruz,estuario,Hembra
2015-09-22T00:00:00Z,Chinta,GT 5295,Chelonia mydas,2,75.5,87.5,Laguna La Cruz,estuario,Hembra
2015-09-22T00:00:00Z,Leah(3),GT 3845,Chelonia mydas,3,62,62.7,Laguna La Cruz,estuario,Hembra
2015-09-22T00:00:00Z,Elvia(1),GT 5297,Chelonia mydas,3,65.5,69,Laguna La Cruz,estuario,Hembra
2015-05-10T00:00:00Z,Alondra,GT 5299,Chelonia mydas,1,66.5,69.3,Laguna La Cruz,estuario,Indefinido
2015-10-18T00:00:00Z,Karla Esponja,GT 8002,Chelonia mydas,1,78,82.5,Laguna La Cruz,estuario,Indefinido
2015-10-18T00:00:00Z,Annete(1),GT 8004,Chelonia mydas,2,70.2,71.9,Laguna La Cruz,estuario,Indefinido
2015-10-18T00:00:00Z,Jeronimo,GT 8006,Chelonia mydas,1,70.3,74.6,Laguna La Cruz,estuario,Indefinido
2015-10-18T00:00:00Z,Obiel(1),GT 8008,Chelonia mydas,2,71.2,73.1,Laguna La Cruz,estuario,Indefinido
2015-10-18T00:00:00Z,Aurora(1),GT 8010,Chelonia mydas,2,66.4,71,Laguna La Cruz,estuario,Indefinido
2015-10-18T00:00:00Z,Ricarda,GT 8012,Chelonia mydas,1,71,75.1,Laguna La Cruz,estuario,Indefinido
2015-01-11T00:00:00Z,Pancha,GT 8014,Chelonia mydas,2,51.9,53,Laguna La Cruz,estuario,Indefinido
2015-01-11T00:00:00Z,Viky,GT 8016,Chelonia mydas,1,87,95.9,Laguna La Cruz,estuario,Hembra
2015-01-11T00:00:00Z,Mariann,GT 8018,Chelonia mydas,1,35.6,66,Laguna La Cruz,estuario,Indefinido
2015-01-11T00:00:00Z,Diana(1),GT 8020,Chelonia mydas,2,73.2,80,Laguna La Cruz,estuario,Indefinido
2015-01-11T00:00:00Z,Iris,GT 8022,Chelonia mydas,2,68,67.2,Laguna La Cruz,estuario,Indefinido
2015-03-11T00:00:00Z,Hamburguesa,GT 8023,Chelonia mydas,1,73.2,79,Laguna La Cruz,estuario,Hembra
2015-03-11T00:00:00Z,Paleta,GT 8025,Chelonia mydas,1,70.5,71.3,Laguna La Cruz,estuario,Indefinido
2015-03-11T00:00:00Z,Jennifer,GT 8027,Chelonia mydas,1,71,73,Laguna La Cruz,estuario,Indefinido
2015-03-11T00:00:00Z,Shirley,GT 8029,Chelonia mydas,1,75.5,83.2,Laguna La Cruz,estuario,Hembra
2015-03-11T00:00:00Z,Norma(1),GT 8031,Chelonia mydas,2,71.3,71.6,Laguna La Cruz,estuario,Hembra
2015-03-11T00:00:00Z,Angel,GT 8033,Chelonia mydas,1,66.1,69.5,Laguna La Cruz,estuario,Indefinido
2015-03-11T00:00:00Z,Ramona,GT 8035,Chelonia mydas,1,69,68.6,Laguna La Cruz,estuario,Indefinido
2015-03-11T00:00:00Z,Cupcake,GT 8037,Chelonia mydas,1,75.2,80.1,Laguna La Cruz,estuario,Hembra
2015-11-18T00:00:00Z,La Prieta,GT 8039,Chelonia mydas,1,70.5,77.4,Laguna La Cruz,estuario,Hembra
2015-11-18T00:00:00Z,Chifladora(1),GT 8041,Chelonia mydas,2,74,77.3,Laguna La Cruz,estuario,Hembra
2015-11-18T00:00:00Z,Perla(1),GT 8043,Chelonia mydas,2,70.7,73.9,Laguna La Cruz,estuario,Hembra
2015-11-18T00:00:00Z,Gaviota,GT 8045,Chelonia mydas,1,63.5,66.7,Laguna La Cruz,estuario,Hembra
2015-11-21T00:00:00Z,Fabby,GT 8048,Chelonia mydas,1,62,65.5,Laguna La Cruz,estuario,Hembra
2015-11-21T00:00:00Z,Ossiris(1),GT 8050,Chelonia mydas,2,72,73.5,Laguna La Cruz,estuario,Hembra
2015-05-12T00:00:00Z,Lichita,GT 8051,Chelonia mydas,1,60.5,64,Laguna La Cruz,estuario,Indefinido
2015-12-18T00:00:00Z,Gabriela,GT 8054,Chelonia mydas,1,66.5,69.5,Laguna La Cruz,estuario,Indefinido
2016-01-16T00:00:00Z,Chloe,GT 8056,Chelonia mydas,1,73,77.5,Laguna La Cruz,estuario,Indefinido
2016-01-03T00:00:00Z,Pepe(2),GT 1569,Chelonia mydas,3,64,68.5,Laguna La Cruz,estuario,Hembra
2016-01-03T00:00:00Z,Gloria Anahi,GT 8058,Eretmochelys imbricata,1,35.6,42,Playa,playa,Indefinido
2016-09-03T00:00:00Z,La Miada,GT 8060,Lepidochelys olivacea,1,69.8,67,Playa,playa,Hembra
2016-02-04T00:00:00Z,Obiel (2),GT 8008,Chelonia mydas,2,70.5,73.2,Laguna La Cruz,estuario,Hembra
2016-04-15T00:00:00Z,Anneka,GT 8062,Chelonia mydas,1,63.6,69,Laguna La Cruz,estuario,Indefinido
2016-04-15T00:00:00Z,Noe,GT 8064,Chelonia mydas,1,64.4,65.7,Laguna La Cruz,estuario,Indefinido
2016-04-15T00:00:00Z,Cosme(2),GT 5210,Chelonia mydas,2,83.1,85,Laguna La Cruz,estuario,Macho
2016-04-15T00:00:00Z,Expreso,GT 8066,Chelonia mydas,1,69.6,70.1,Laguna La Cruz,estuario,Indefinido
2016-04-15T00:00:00Z,Ed Boyer,GT 8068,Chelonia mydas,1,71.5,73.5,Laguna La Cruz,estuario,Indefinido
2016-04-15T00:00:00Z,Vero,GT 8070,Chelonia mydas,1,68.5,72,Laguna La Cruz,estuario,Indefinido
2016-04-29T00:00:00Z,Duke- Seri,GT 8074,Eretmochelys imbricata,1,32,37.5,Isla San Pedro Mártir,isla,Indefinido
2016-05-13T00:00:00Z,Tara(2),GT 3850,Chelonia mydas,1,67,71.5,Laguna La Cruz,estuario,Indefinido
2016-05-29T00:00:00Z,Sofia,GT 8071,Chelonia mydas,1,70.3,69.7,Laguna La Cruz,estuario,Hembra
2016-05-29T00:00:00Z,Tanatitito,GT 8076,Chelonia mydas,1,54.7,54.5,Laguna La Cruz,estuario,Indefinido
2016-05-29T00:00:00Z,Doña Tere,GT 8078,Chelonia mydas,1,82.5,89.5,Laguna La Cruz,estuario,Hembra
2016-05-29T00:00:00Z,Erika(1),GT 8080,Chelonia mydas,1,67.2,72.9,Laguna La Cruz,estuario,Hembra
2016-05-29T00:00:00Z,Lalo(2),GT 5289,Chelonia mydas,2,63.4,68.3,Laguna La Cruz,estuario,Indefinido
2016-05-29T00:00:00Z,Kikey,GT 8082,Chelonia mydas,1,76.3,81.5,Laguna La Cruz,estuario,Hembra
2016-05-29T00:00:00Z,Siomara,GT 8085,Chelonia mydas,1,68,70.9,Laguna La Cruz,estuario,Hembra
2016-03-06T00:00:00Z,Airam,GT 8087,Eretmochelys imbricata,1,40,44.5,UNKNOWN,NA,Indefinido
2016-11-06T00:00:00Z,Belen(2),X,Chelonia mydas,9,74,81.5,Laguna La Cruz,estuario,Hembra
2016-11-06T00:00:00Z,Elvia(2),GT 5297,Chelonia mydas,3,66.5,69.5,Laguna La Cruz,estuario,Hembra
2016-11-06T00:00:00Z,Joaquin,GT 8089,Chelonia mydas,1,65.5,65.2,Laguna La Cruz,estuario,Indefinido
2016-11-06T00:00:00Z,Emily,GT 8091,Chelonia mydas,1,65.3,72,Laguna La Cruz,estuario,Hembra
2016-11-06T00:00:00Z,Luis,GT 8093,Chelonia mydas,1,69,70.5,Laguna La Cruz,estuario,Hembra
2016-12-06T00:00:00Z,Claudia,GT 8095,Chelonia mydas,1,69.8,69,Laguna La Cruz,estuario,Hembra
2016-12-06T00:00:00Z,Abraham,GT 8097,Chelonia mydas,1,28.6,75,Laguna La Cruz,estuario,Indefinido
2016-12-06T00:00:00Z,Ulises,GT 8099,Chelonia mydas,1,80.4,92,Laguna La Cruz,estuario,Macho
2016-12-06T00:00:00Z,Melissa,GT 8101,Chelonia mydas,1,89.5,92.5,Laguna La Cruz,estuario,Hembra
2016-12-06T00:00:00Z,Aurora(2),GT 8010,Chelonia mydas,2,66.6,71,Laguna La Cruz,estuario,Hembra
2016-12-06T00:00:00Z,Glenda(1),GT 8103,Chelonia mydas,2,74.5,77.5,Laguna La Cruz,estuario,Hembra
2016-12-06T00:00:00Z,Carlos Josue,GT 8105,Chelonia mydas,1,64.5,64,Laguna La Cruz,estuario,Indefinido
2016-12-06T00:00:00Z,Ma. Josse(2),GT 1573,Chelonia mydas,2,70.5,72.3,Laguna La Cruz,estuario,Indefinido
2016-12-06T00:00:00Z,Annete(2),GT 8004,Chelonia mydas,2,71.3,75.5,Laguna La Cruz,estuario,Indefinido
2016-11-07T00:00:00Z,Procodes,GT 8106,Chelonia mydas,1,80,79.8,Laguna La Cruz,estuario,Hembra
2016-11-07T00:00:00Z,Gemma,GT 8109,Chelonia mydas,1,62,65.8,Laguna La Cruz,estuario,Indefinido
2016-12-07T00:00:00Z,Como Yo(1),GT 8110,Chelonia mydas,2,67.1,71.2,Laguna La Cruz,estuario,Hembra
2016-12-07T00:00:00Z,Mia,GT 8114,Chelonia mydas,1,64.2,70.5,Laguna La Cruz,estuario,Indefinido
2016-12-07T00:00:00Z,Mimi,GT 8116,Chelonia mydas,1,72.3,72.4,Laguna La Cruz,estuario,Indefinido
2016-12-07T00:00:00Z,Conanp,GT 8118,Chelonia mydas,1,65.2,67.5,Laguna La Cruz,estuario,Indefinido
2016-12-07T00:00:00Z,Renata(1),GT 8120,Chelonia mydas,3,66.7,72.8,Laguna La Cruz,estuario,Indefinido
2016-12-07T00:00:00Z,Roxana,GT 8122,Chelonia mydas,1,82,89.3,Laguna La Cruz,estuario,Hembra
2016-11-08T00:00:00Z,Turismo,GT 8124,Chelonia mydas,1,59,60.8,Laguna La Cruz,estuario,Macho
2016-11-08T00:00:00Z,Griselda,GT 8125,Chelonia mydas,1,65.2,69.5,Laguna La Cruz,estuario,Hembra
2016-11-08T00:00:00Z,Outdoor,GT 8127,Chelonia mydas,1,76,77.3,Laguna La Cruz,estuario,Hembra
2016-11-08T00:00:00Z,ZoeAli,GT 8129,Chelonia mydas,1,76.8,80.2,Laguna La Cruz,estuario,Hembra
2016-12-08T00:00:00Z,Frida,GT 8131,Chelonia mydas,1,76,79,Laguna La Cruz,estuario,Hembra
2016-12-08T00:00:00Z,Fabian,GT 8133,Chelonia mydas,1,68,68,Laguna La Cruz,estuario,Macho
2016-12-08T00:00:00Z,Abigail,GT 8135,Chelonia mydas,1,64.5,67,Laguna La Cruz,estuario,Hembra
2016-12-08T00:00:00Z,Sebastian,GT 8138,Chelonia mydas,1,73.5,80,Laguna La Cruz,estuario,Macho
2016-12-08T00:00:00Z,Diana(2),GT 8020,Chelonia mydas,2,74.5,80.6,Laguna La Cruz,estuario,Hembra
2016-12-08T00:00:00Z,Loreto,GT 8140,Chelonia mydas,1,68.5,70.5,Laguna La Cruz,estuario,Hembra
2016-12-08T00:00:00Z,Tia Monse,GT 8142,Chelonia mydas,1,69.4,70,Laguna La Cruz,estuario,Hembra
2016-08-24T00:00:00Z,Gema,GT 8145,Chelonia mydas,1,65.5,68,Isla San Pedro Mártir,isla,Indefinido
